uid,name,pos,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
SuttCo00,Courtland Sutton,WR,160.7,127.4,121.2,8.1,186.4,115.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McLaTe00,Terry McLaurin,WR,169.7,190.5,175.0,180.3,162.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LawrTr00,Trevor Lawrence,QB,262.5,295.6,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HoweSa00,Sam Howell,QB,257.0,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WilsRu00,Russell Wilson,QB,256.9,225.3,242.8,359.8,328.6,298.9,347.9,269.1,336.3,330.1,270.2,277.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StafMa00,Matthew Stafford,QB,243.1,108.4,329.7,260.6,166.6,212.2,273.6,279.8,290.3,251.6,278.9,276.1,343.3,50.5,125.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarrDe02,Derek Carr,QB,241.1,219.1,257.0,272.1,244.4,216.3,206.4,268.5,271.3,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HerbJu00,Justin Herbert,QB,233.7,280.3,380.8,332.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FielJu00,Justin Fields,QB,230.2,296.0,126.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SmitGe00,Geno Smith,QB,226.8,303.9,54.3,1.1,,-1.5,9.7,7.9,20.0,150.8,194.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DobbJo00,Joshua Dobbs,QB,200.7,20.8,,2.1,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinsGa00,Gardner Minshew II,QB,196.2,36.8,33.7,160.2,229.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RiddDe00,Desmond Ridder,QB,176.6,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KamaAl00,Alvin Kamara,RB,195.5,183.2,211.2,336.3,208.0,313.7,279.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YounBr01,Bryce Young,QB,156.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CousKi00,Kirk Cousins,QB,149.7,291.6,300.3,306.2,244.4,282.6,277.6,300.3,293.4,88.4,33.6,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BurrJo01,Joe Burrow,QB,147.2,350.7,314.2,173.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MurrKy00,Kyler Murray,QB,146.4,200.5,300.5,378.7,285.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HubbCh01,Chuba Hubbard,RB,163.0,80.7,125.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JacoJo01,Josh Jacobs,RB,162.6,301.8,199.0,214.8,181.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrowJa08,Jake Browning,QB,143.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MossZa00,Zack Moss,RB,156.1,59.0,93.7,94.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SingDe00,Devin Singletary,RB,152.3,158.9,177.8,124.6,133.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaylJo02,Jonathan Taylor,RB,146.9,132.4,353.1,234.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WarrJa01,Jaylen Warren,RB,165.9,79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EkelAu00,Austin Ekeler,RB,159.9,319.2,308.8,138.3,263.0,149.3,93.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WillJa10,Javonte Williams,RB,155.7,34.0,183.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlowZa00,Zay Flowers,WR,167.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThieAd00,Adam Thielen,WR,179.5,145.0,166.3,217.0,99.4,250.8,194.2,160.7,29.3,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WaddJa00,Jaylen Waddle,WR,162.6,221.7,193.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GodwCh00,Chris Godwin,WR,167.7,170.8,193.4,158.5,233.1,155.7,75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OConAi00,Aidan O'Connell,QB,125.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElliEz00,Ezekiel Elliott,RB,149.0,177.3,228.6,197.7,284.7,290.6,190.2,309.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LockTy00,Tyler Lockett,WR,162.9,195.3,204.9,215.4,194.2,193.9,101.8,103.6,139.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AllgTy00,Tyler Allgeier,RB,128.6,151.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WilsZa00,Zach Wilson,QB,119.9,98.4,151.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CookBr00,Brandin Cooks,WR,146.2,117.1,186.8,191.5,96.5,203.2,188.7,207.3,211.6,112.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DellNa00,Tank Dell,WR,141.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WilsGa00,Garrett Wilson,WR,165.7,174.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DaviGa01,Gabriel Davis,WR,138.9,147.6,108.4,119.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubRo00,Romeo Doubs,WR,144.9,80.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PickKe00,Kenny Pickett,QB,110.2,149.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShahRa00,Rashid Shaheed,WR,132.6,86.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StevRh00,Rhamondre Stevenson,RB,126.7,214.6,107.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JoneMa05,Mac Jones,QB,106.4,170.1,224.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JoneAa00,Aaron Jones,RB,119.9,219.1,203.0,235.4,290.3,158.4,75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KuppCo00,Cooper Kupp,WR,134.9,163.9,367.0,162.7,223.5,115.1,145.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LondDr00,Drake London,WR,139.9,142.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HuntKa00,Kareem Hunt,RB,111.0,109.3,99.0,199.5,82.9,217.2,268.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MattAl01,Alexander Mattison,RB,118.2,80.9,109.9,80.4,63.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnDi01,Diontae Johnson,WR,127.2,137.7,220.9,177.8,133.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeviWi00,Will Levis,QB,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpeaTy00,Tyjae Spears,RB,127.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlacJo00,Joe Flacco,QB,100.8,48.3,23.8,54.8,84.9,137.1,185.0,242.5,161.9,262.4,207.6,234.9,202.9,231.3,206.1,183.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SlayDa01,Darius Slayton,WR,126.0,105.4,55.6,116.0,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DillAJ00,AJ Dillon,RB,106.6,153.6,168.6,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiggTe00,Tee Higgins,WR,116.6,183.9,182.1,161.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SamuCu00,Curtis Samuel,WR,126.2,144.3,6.8,173.6,144.7,117.3,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeViTo00,Tommy DeVito,QB,93.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HerbKh00,Khalil Herbert,RB,102.5,113.3,71.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KirkCh01,Christian Kirk,WR,121.8,199.9,169.1,122.4,134.2,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DownJo00,Josh Downs,WR,123.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReynJo00,Josh Reynolds,WR,108.8,84.9,66.1,98.3,51.4,85.5,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JeudJe00,Jerry Jeudy,WR,114.8,170.7,66.0,131.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SmitJa06,Jaxon Smith-Njigba,WR,118.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaylTy00,Tyrod Taylor,QB,87.3,11.3,81.7,9.0,6.0,41.4,222.7,270.9,271.1,-0.3,5.6,18.5,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WatsDe00,Deshaun Watson,QB,86.8,85.6,,369.3,320.5,331.7,168.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrowMa04,Marquise Brown,WR,109.2,122.5,180.8,154.0,123.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PittKy00,Kyle Pitts,TE,110.8,61.6,142.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CharDJ00,DJ Chark,WR,98.0,83.2,30.9,127.1,189.3,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HillJu00,Justice Hill,RB,95.3,36.0,,10.5,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WickDo00,Dontayvion Wicks,WR,100.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChanTy01,Ty Chandler,RB,90.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ForeDO00,D'Onta Foreman,RB,85.7,128.5,89.4,16.5,,9.7,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TannRy00,Ryan Tannehill,QB,80.0,161.2,268.4,343.9,224.2,142.5,,190.2,257.8,279.0,238.3,182.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GibsAn00,Antonio Gibson,RB,103.4,142.9,208.1,184.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BoydTy00,Tyler Boyd,WR,111.3,138.1,150.3,153.1,177.9,183.1,45.5,97.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HenrHu00,Hunter Henry,TE,98.9,83.4,139.3,115.3,122.7,,104.4,111.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoedDa00,Dallas Goedert,TE,106.8,113.7,137.0,93.4,115.7,73.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KincDa00,Dalton Kincaid,TE,113.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WilsMi02,Michael Wilson,WR,95.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DotsJa00,Jahan Dotson,WR,100.3,113.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DowdRi01,Rico Dowdle,RB,83.0,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McLaJa00,Jaleel McLaughlin,RB,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
